"freq
References : ['real(S(1,1))','imag(S(1,1))','real(SP1.SP.S(1,2))','imag(SP1.SP.S(1,2))','real(SP1.SP.S(2,1))','imag(SP1.SP.S(2,1))','real(SP1.SP.S(2,2))','imag(SP1.SP.S(2,2))']
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real"
3.900E8Hz,-8.914E-1,-6.262E-2,1.434E-2,6.386E-3,-4.989E0,2.361E0,-6.768E-1,8.343E-2
4.000E8Hz,-8.928E-1,-5.383E-2,1.568E-2,6.569E-3,-4.897E0,2.445E0,-6.788E-1,8.759E-2
4.100E8Hz,-9.046E-1,-4.577E-2,1.598E-2,6.636E-3,-4.834E0,2.504E0,-6.810E-1,8.163E-2
4.200E8Hz,-9.076E-1,-3.247E-2,1.668E-2,5.921E-3,-4.755E0,2.586E0,-6.829E-1,8.313E-2
4.300E8Hz,-9.137E-1,-2.661E-2,1.666E-2,5.669E-3,-4.685E0,2.631E0,-6.825E-1,7.712E-2
4.400E8Hz,-9.099E-1,-1.270E-2,1.647E-2,5.614E-3,-4.597E0,2.711E0,-6.832E-1,8.164E-2
4.500E8Hz,-9.221E-1,-1.028E-2,1.735E-2,5.170E-3,-4.553E0,2.777E0,-6.835E-1,8.218E-2
4.600E8Hz,-9.170E-1,-2.197E-3,1.717E-2,3.872E-3,-4.468E0,2.813E0,-6.882E-1,8.252E-2
4.700E8Hz,-9.221E-1,1.331E-2,1.787E-2,4.788E-3,-4.401E0,2.856E0,-6.868E-1,8.112E-2
4.800E8Hz,-9.211E-1,1.382E-2,1.810E-2,4.686E-3,-4.346E0,2.878E0,-6.878E-1,8.090E-2
4.900E8Hz,-9.240E-1,2.362E-2,1.837E-2,4.001E-3,-4.288E0,2.954E0,-6.873E-1,8.667E-2
5.000E8Hz,-9.202E-1,3.259E-2,1.755E-2,3.531E-3,-4.193E0,2.967E0,-6.906E-1,8.716E-2
5.100E8Hz,-9.264E-1,4.565E-2,1.744E-2,3.568E-3,-4.133E0,3.057E0,-6.870E-1,9.244E-2
5.200E8Hz,-9.283E-1,5.005E-2,1.813E-2,4.149E-3,-4.065E0,3.045E0,-6.907E-1,8.704E-2
5.300E8Hz,-9.259E-1,5.484E-2,1.777E-2,3.439E-3,-4.000E0,3.057E0,-6.864E-1,9.228E-2
5.400E8Hz,-9.283E-1,5.945E-2,1.801E-2,3.228E-3,-3.951E0,3.078E0,-6.843E-1,9.311E-2
5.500E8Hz,-9.329E-1,7.031E-2,1.791E-2,3.254E-3,-3.884E0,3.143E0,-6.863E-1,9.668E-2
5.600E8Hz,-9.220E-1,7.977E-2,1.824E-2,3.098E-3,-3.792E0,3.149E0,-6.847E-1,1.007E-1
5.700E8Hz,-9.291E-1,8.283E-2,1.856E-2,2.972E-3,-3.774E0,3.211E0,-6.913E-1,1.008E-1
5.800E8Hz,-9.316E-1,8.271E-2,1.905E-2,2.369E-3,-3.716E0,3.202E0,-6.889E-1,1.053E-1
5.900E8Hz,-9.341E-1,8.536E-2,1.869E-2,2.803E-3,-3.677E0,3.259E0,-6.949E-1,1.018E-1
6.000E8Hz,-9.307E-1,9.907E-2,1.858E-2,2.154E-3,-3.594E0,3.287E0,-6.850E-1,1.044E-1
6.100E8Hz,-9.325E-1,9.919E-2,1.897E-2,2.206E-3,-3.560E0,3.305E0,-6.921E-1,1.064E-1
6.200E8Hz,-9.293E-1,1.019E-1,1.948E-2,2.145E-3,-3.497E0,3.330E0,-6.906E-1,1.083E-1
6.300E8Hz,-9.306E-1,1.077E-1,1.874E-2,2.439E-3,-3.451E0,3.355E0,-6.912E-1,1.122E-1
6.400E8Hz,-9.312E-1,1.085E-1,1.870E-2,1.898E-3,-3.424E0,3.383E0,-6.926E-1,1.061E-1
